genotype,devstage,arclength,x,y,x_sd,y_sd,curvature,curvature_sd,crosssection
ecadGFPnbG4,wL3,-45.90151680478243,44.8907432197048,-6.513691520217102,0.7185022675410261,4.476642951660402,0.004949684184834477,0.0005213966371341813,Along_DV
ecadGFPnbG4,wL3,-39.33530321753835,38.583777920533116,-4.950211929422676,0.5758867461232814,3.946218242641253,0.004931171992061002,0.0006245759993771087,Along_DV
ecadGFPnbG4,wL3,-32.76908963029422,32.231060185797006,-3.5903150055855524,0.4481778256419524,3.4090463476969606,0.0049005202685705835,0.0007665527494937663,Along_DV
ecadGFPnbG4,wL3,-26.202876043050082,25.83831446556358,-2.433648116399481,0.3371318071547158,2.8647737882326423,0.004859233349269399,0.0009157335827827593,Along_DV
ecadGFPnbG4,wL3,-19.636662455806004,19.41133646585963,-1.4793675960841777,0.2453640898629774,2.3140710707798395,0.004808810967963129,0.0010511734332352759,Along_DV
ecadGFPnbG4,wL3,-13.070448868561868,12.955972868733545,-0.7262301306286864,0.1773430127075984,1.761318675653671,0.004750935416103211,0.0011585277618088878,Along_DV
ecadGFPnbG4,wL3,-6.504235281317733,6.478101052317791,-0.17268414303481486,0.13969812562027398,1.2245385494901442,0.004687678783814104,0.0012270236857674565,Along_DV
ecadGFPnbG4,wL3,0.061978305926345456,-0.01639118910913695,0.18303882143951644,0.13436278279337532,0.7833641585310664,0.0046216817966027056,0.001247952820770886,Along_DV
ecadGFPnbG4,wL3,6.628191893170481,-6.521625840051045,0.3428335559362785,0.15019420550740797,0.7268187689507193,0.004555872067396455,0.0012164736722105993,Along_DV
ecadGFPnbG4,wL3,13.194405480414616,-13.031752711468606,0.3086520191457283,0.17477309945246997,1.1577737420390906,0.004492191932313956,0.0011385115813735804,Along_DV
ecadGFPnbG4,wL3,19.760619067658695,-19.540962135702035,0.08248742563934353,0.20390141358170916,1.7762449924434884,0.004432322847060656,0.0010229489492025378,Along_DV
ecadGFPnbG4,wL3,26.32683265490283,-26.04349559069632,-0.33362105908138395,0.23908845133056628,2.465141688342303,0.004377768744668176,0.0008792121580140964,Along_DV
ecadGFPnbG4,wL3,32.893046242146966,-32.53365624687331,-0.9375828538306922,0.28398925535948205,3.19408721701662,0.00432964758960576,0.0007178131121347428,Along_DV
ecadGFPnbG4,wL3,39.459259829391044,-39.00581951400442,-1.7272504969842999,0.3422261046118812,3.9509000085642314,0.004288548787869331,0.0005521112573388822,Along_DV
ecadGFPnbG4,wL3,46.02547341663518,-45.4544435880832,-2.7004141817251877,0.41643080465629884,4.72788785143972,0.004254463512579214,0.0004036467267640611,Along_DV
ecadGFPnbG4,wL3,52.591687003879315,-51.874079998197594,-3.8547962912893183,0.5082482845219943,5.518611144607513,0.004226789062952675,0.0003142098836216498,Along_DV
ecadGFPnbG4,wL3,59.15790059112339,-58.25938415340247,-5.1880459342113925,0.6187718669608886,6.317029958115898,0.004204404449926411,0.0003302255511582399,Along_DV
ecadGFPnbG4,wL3,65.72411417836753,-64.60512588959234,-6.697733479570657,0.7489553649661022,7.117345801309677,0.004185810128123024,0.000423615954505272,Along_DV
ecadGFPnbG4,wL3,72.29032776561166,-70.90620001637352,-8.381345092236586,0.8998405665619962,7.9140817226347115,0.004169318420912019,0.0005354136897826082,Along_DV
ecadGFPnbG4,wL3,78.85654135285574,-77.15763686393667,-10.236277268114653,1.0726189392819694,8.702247761764196,0.004153272322368445,0.0006343285246286394,Along_DV
ecadGFPnbG4,wL3,85.42275494009988,-83.35461282997814,-12.259831370918283,1.26858781162513,9.477529907291412,0.00413627093133993,0.0007056271181524235,Along_DV
ecadGFPnbG4,wL3,91.98896852734401,-89.49246088386043,-14.449212026118298,1.4890502168405522,10.236470315979245,0.004118336102164919,0.0007431558753840918,Along_DV
ecadGFPnbG4,wL3,98.55518211458809,-95.56667700169216,-16.80157065948129,1.735186986106277,10.976589810306333,0.004101924302650423,0.0007494151160466776,Along_DV
ecadGFPnbG4,wL3,105.12139570183223,-101.57291302467917,-19.314124801540128,2.007912992926292,11.696396128253872,0.004089778209245131,0.0007301084773180867,Along_DV
ecadGFPnbG4,wL3,111.68760928907636,-107.50696107129575,-21.984276278134516,2.3077390111647405,12.395293284424506,0.004082790352624373,0.000692353024852581,Along_DV
