genotype,devstage,arclength,x,y,x_sd,y_sd,x_sem,y_sem,curvature,curvature_sd,curvature_sem,crosssection
ecadGFPnbG4myoVI,0hAPF,-21.99069124526352,21.522671630258795,0.7679932604234233,0.25690973172452813,1.710866038431616,0.14832690276859087,0.9877689678358822,0.011230934449830142,0.0017429574031002815,0.0010062969258659987,Across_DV
ecadGFPnbG4myoVI,0hAPF,-16.90083898244177,16.594083073823864,1.1236746845967096,0.24412089528379505,1.3849114508001434,0.14094326460691153,0.799578998923258,0.009212511258607626,0.0022128516864678965,0.0012775905168589574,Across_DV
ecadGFPnbG4myoVI,0hAPF,-11.810986719620047,11.615323038067055,1.2540731159722758,0.2159905100720631,1.0055254309444666,0.12470217913251021,0.5805403782328022,0.007536191107419745,0.002478864710609249,0.0014311732079549137,Across_DV
ecadGFPnbG4myoVI,0hAPF,-6.721134456798325,6.605603691403275,1.195245984800669,0.17079880618598073,0.5654164013498486,0.0986107367287427,0.3264433115235646,0.006318438922733295,0.0025010341175329695,0.0014439727210100982,Across_DV
ecadGFPnbG4myoVI,0hAPF,-1.631282193976574,1.5835292257562728,0.9744179594416159,0.11270980249300212,0.0644796762492576,0.06507303480964434,0.0372273584397688,0.005665884577746895,0.0022454635030337614,0.0012964189579320223,Across_DV
ecadGFPnbG4myoVI,0hAPF,3.458570068845148,-3.43293202637463,0.6063938402845727,0.0668755251132953,0.4927558426837052,0.038610602426358616,0.2844927184181981,0.00568437283207343,0.0017185882090932367,0.0009922273651460972,Across_DV
ecadGFPnbG4myoVI,0hAPF,8.54842233166687,-8.426456190600016,0.09075735163257732,0.10017758722288832,1.0862492494621931,0.05783755694990179,0.6271462965840262,0.006343370936580839,0.0012619076447856134,0.0007285627184094206,Across_DV
ecadGFPnbG4myoVI,0hAPF,13.638274594488621,-13.38027965454004,-0.587148366820704,0.1716788850694703,1.6924271978137595,0.0991188505090335,0.9771232982416181,0.0075328186399723565,0.001762576535981845,0.0010176240375164363,Across_DV
ecadGFPnbG4myoVI,0hAPF,18.728126857310343,-18.278048125129327,-1.452520120297586,0.23545667456563563,2.281901194825505,0.13594097444296385,1.317456269096634,0.009135955040946548,0.0030783741220291056,0.0017773001280198821,Across_DV
ecadGFPnbG4myoVI,0hAPF,23.817979120132065,-23.103659520054844,-2.5371427394163697,0.2735411835309521,2.824430173747007,0.15792907594604402,1.630685521120136,0.010987750930921828,0.0046389315145530545,0.0026782883586794447,Across_DV
ecadGFPnbG4myoVI,0hAPF,28.907831382953816,-27.841106853974058,-3.8754369479601043,0.27282159969690434,3.292583805333011,0.15751362402575206,1.9009741463384164,0.012835223247245134,0.006079457130638691,0.003509976210901038,Across_DV
